Open,High,Low,Close,Volume,Name
27.92,28.325,27.92,28.185,7146296,SBUX
28.26,28.26,27.93,28.07,5457354,SBUX
28.0,28.275,27.975,28.13,8665592,SBUX
28.23,28.23,27.75,27.915,7022056,SBUX
27.765,27.905,27.675,27.775,8899188,SBUX
27.805,27.85,27.085,27.17,18195730,SBUX
27.18,27.305,27.01,27.225,11760912,SBUX
27.3,27.42,26.59,26.655,12472506,SBUX
26.535,26.82,26.26,26.675,13896450,SBUX
26.85,27.105,26.64,27.085,11487316,SBUX
27.2,27.355,26.6,26.605,12333954,SBUX
26.715,26.93,26.425,26.64,10607724,SBUX
26.625,27.4875,26.54,27.285,12056302,SBUX
27.325,27.585,27.225,27.425,10394356,SBUX
27.315,27.465,27.0,27.435,8451764,SBUX
27.385,27.86,27.33,27.85,10193852,SBUX
28.0,28.4,28.0,28.255,12931844,SBUX
28.38,28.745,28.325,28.55,14925144,SBUX
28.55,29.25,28.545,29.125,18237018,SBUX
29.335,29.485,29.0725,29.335,14215718,SBUX
29.2,29.465,29.165,29.305,9897766,SBUX
29.225,29.275,28.99,29.14,11670100,SBUX
29.165,29.4,29.14,29.2925,7435340,SBUX
29.26,29.375,28.705,28.84,14723066,SBUX
28.68,28.93,28.63,28.83,15102742,SBUX
28.53,28.71,28.375,28.465,10521204,SBUX
28.255,28.49,27.98,28.415,13337034,SBUX
28.61,28.805,28.5,28.715,9620874,SBUX
28.65,28.71,28.375,28.525,8307328,SBUX
28.65,28.875,28.58,28.69,8720670,SBUX
28.765,28.915,28.075,28.345,10580234,SBUX
28.495,28.58,28.355,28.525,6128410,SBUX
28.43,28.475,28.105,28.455,7456828,SBUX
28.465,28.63,28.43,28.475,7620390,SBUX
28.565,28.67,28.325,28.435,7009632,SBUX
28.595,29.165,28.575,29.13,13495550,SBUX
29.2,29.45,28.69,28.85,11272606,SBUX
28.805,29.155,28.805,29.055,7568480,SBUX
28.605,28.9382,28.3592,28.9,8993596,SBUX
28.915,29.06,28.73,29.06,7343972,SBUX
28.98,29.0,28.59,28.705,8361158,SBUX
28.82,29.155,28.8045,28.9,8577388,SBUX
28.975,29.495,28.9,29.2875,10416656,SBUX
29.355,29.855,29.3,29.545,10418310,SBUX
29.33,29.72,28.8,28.855,10700276,SBUX
28.97,29.47,28.86,29.28,8849328,SBUX
29.015,29.275,28.825,29.085,7207368,SBUX
29.18,29.24,28.75,28.86,8776706,SBUX
28.79,29.29,28.77,29.2025,8605504,SBUX
29.21,29.435,28.99,29.32,5547302,SBUX
29.42,29.95,29.3899,29.695,11323422,SBUX
29.845,29.985,29.565,29.915,10410890,SBUX
30.0,30.32,29.955,30.25,16550532,SBUX
29.65,30.195,29.6,30.0,14970972,SBUX
30.175,30.46,30.065,30.29,7400546,SBUX
30.315,30.455,30.155,30.42,8041092,SBUX
30.275,30.34,29.975,30.07,6294596,SBUX
30.22,30.34,29.8,30.19,6237460,SBUX
30.425,30.985,30.35,30.935,9835550,SBUX
31.0,31.24,30.96,31.24,6997134,SBUX
31.265,31.265,30.855,31.095,7495628,SBUX
